Question|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
What is troilism ?|What is|WP|VBZ|VBZ|DESC
What was the sister ship of the Olympic ?|What was|WP|VBD|VBD|ENTY
What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?|What is who mistakenly|WP|RB|VBZ|HUM
What is HTML ?|What is|WP|VBZ|VBZ|ABBR
How do you identify prime numbers ?|How do|WRB|VBP|VB|DESC
Whose special bear's creator was born on January 18 , 1779 ?|Whose special|WP$|JJ|VBN|HUM
What high school does Archie attend ?|What high|WP|JJ|VB|HUM
What animal migrates the farthest ?|What animal|WP|NN|VBZ|ENTY
What film was based on the play Everybody Comes to Rick's ?|What film|WP|NN|VBN|ENTY
Why do we call someone '' honey '' ?|Why do|WRB|VBP|VB|DESC
Madonna hocks which soft drink ?|which soft|WDT|JJ|NNS|ENTY
What television network flogged its sports programming on Inga Nielsen's body in 197 ?|What television|WP|NN|VBD|HUM
In what country is Lund ?|what country|WP|NN|VBZ|LOC
What's the sequel to Alice's Adventures in Wonderland ?|What 's|WP|VBZ|VBZ|ENTY
What is the capital of Seattle ?|What is|WP|VBZ|VBZ|LOC
What Italian leader had a lifelong fear of the evil eye ?|What Italian|WP|JJ|VBD|HUM
What city in Florida is Sea World in ?|What city|WP|NN|VBZ|LOC
Who said : '' What contemptible scoundrel stole the cork from my lunch ? ''|Who said What contemptible|WP|JJ|VBD|HUM
What's a water funnel ?|What 's|WP|VBZ|VBZ|DESC
What is a fear of worms ?|What is|WP|VBZ|VBZ|ENTY
What is a Chinese '' spouting '' bowl ?|What is|WP|VBZ|VBZ|DESC
What does an emperor do ?|What does|WP|VBZ|VBP|DESC
What president kissed the Queen Mother on the lips ?|What president|WP|NN|VBD|HUM
Where does the tennis star Stefan Edberg come from ?|Where does|WRB|VBZ|VB|LOC
What continent pushes up the Executive Committee mountain range ?|What continent|WP|NN|VBZ|LOC
How do they raise the cranes when building high-rise buildings ?|How do when building|WRB|VBG|VB|DESC
What was Al Capone finally imprisoned for , in 1931 ?|What was|WP|VBD|VBD|DESC
What food can I use to catch a possum ?|What food|WP|NN|VB|ENTY
What was Al Capone's nickname ?|What was|WP|VBD|VBD|HUM
Who was the author of the famous fairy tale '' Snow White and Seven Dwarfs '' ?|Who was|WP|VBD|VBD|HUM
What is the largest city in Germany ?|What is|WP|VBZ|VBZ|LOC
What is a fear of cholera ?|What is|WP|VBZ|VBZ|ENTY
What park contains Firehole River and Fairy Falls ?|What park|WP|NN|VBZ|LOC
What's the largest island in the West Indies ?|What 's|WP|VBZ|VBZ|LOC
What New England state carries the telephone area code 27 ?|What New|WP|NNP|VBZ|LOC
What is an example of a natural acid-base indicator ?|What is|WP|VBZ|VBZ|ENTY
In what county is Eckley Colorado ?|what county|WP|NN|VBZ|LOC
How do I find info about rice importers in the world ?|How do|WRB|VBP|VB|DESC
How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?|How much|WRB|JJ|VB|NUM
What is the song Stairway to Heaven by Led Zeppelin about ?|What is|WP|VBZ|VBZ|DESC
How does hair curl ?|How does|WRB|VBZ|VB|DESC
What are pushed and coupled in hump yards ?|What are|WP|VBP|VBN|ENTY
How long do hermit crabs live ?|How long|WRB|RB|VBP|NUM
What city hosted the first Winter Olympics in Asia ?|What city|WP|NN|VBD|LOC
What is the origin of the first name ' Breony ' ?|What is|WP|VBZ|VBZ|DESC
What month were you born in if your birthstone is sardonyx ?|What month|WDT|NN|VBN|NUM
Who is behind the name of the Harvey Wallbanger drink ?|Who is|WP|VBZ|VBZ|HUM
What is the origin of '' Beauty is in the eye of the beholder '' ?|What is|WP|VBZ|VBZ|DESC
What soft drink not only has its own video game , but was featured in its own Marvel comic book ?|What soft|WP|JJ|VBZ|ENTY
What oldtime kids ' fare did TV Guide writer Jeff Greenfield call '' one of the most...subversive TV shows in American history '' ?|What oldtime|WDT|JJ|NN|ENTY
Madonna advertises for what soft drink ?|what soft|WP|JJ|VBZ|ENTY
What does A&W of root beer fame stand for ?|What does|WP|VBZ|VB|ABBR
What tennis term is said to come from the French word for egg ?|What tennis|WP|NN|VBN|ENTY
What does a collier mine ?|What does|WP|VBZ|NN|ENTY
How much money can a person be fined for having a dog on a beach ?|How much|WRB|JJ|VBN|NUM
What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?|What desert|WP|NN|NNS|LOC
What are the ages in comic book lingo ?|What are|WP|VBP|VBP|ENTY
What kinds of animals are in Cambodia ?|What kinds|WDT|NNS|VBP|ENTY
What South African producer had a 1988 profit of $836 million ?|What South|WDT|JJ|VBD|HUM
What American actress was the first to be called a '' vamp '' ?|What American|WP|JJ|VBD|HUM
What do the 12 days of Christmas mean ?|What do|WP|VBP|VBP|DESC
What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?|What John|WP|NNP|VBZ|ENTY
What date did man first land on the moon ?|What date|WDT|NN|NN|NUM
Where are the headquarters of Eli Lilly ?|Where are|WRB|VBP|VBP|LOC
How many web servers are there ?|How many|WRB|JJ|VBP|NUM
What's the last line of Dickens's A Christmas Carol ?|What 's|WP|VBZ|VBZ|DESC
How many trees go into paper making in a year ?|How many|WRB|JJ|VBP|NUM
Where can I find info on research being done on oilseeds thru genetics ?|Where can|WRB|MD|VB|LOC
How come light bulbs go out ?|How come|WRB|VB|VB|DESC
For what reason did the Shea & Gould law firm close their L.A. office ?|what reason|WP|NN|RB|DESC
How far out is the universe ?|How far|WRB|RB|VBZ|NUM
What is the difference between a bottle and a jar ?|What is|WP|VBZ|VBZ|DESC
What disease is the second-biggest killer of North Americans ?|What disease|WP|NN|VBZ|ENTY
Where did the Mayan Indians live ?|Where did|WRB|VBD|VBP|LOC
Where was Poe born ?|Where was|WRB|VBD|VBN|LOC
What happens to the female body with lack of sleep and food ?|What happens|WP|VBZ|VBZ|DESC
What is a fear of crystals or glass ?|What is|WP|VBZ|VBZ|ENTY
Name a product that controls the ripening of apples .|that controls|WDT|VBZ|VB|ENTY
How many warmup pitches does a reliever get coming into a baseball game ?|How many|WRB|JJ|VBG|NUM
Where did Dylan Thomas die ?|Where did|WRB|VBD|VB|LOC
What common livestock have the greatest variety of breeds ?|What common|WP|JJ|VBP|ENTY
What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?|What film|WP|NN|VBD|ENTY
What disease did August von Wassermann develop a specific test for in 196 ?|What disease|WP|NN|VB|ENTY
What card company sells Christmas ornaments ?|What card|WP|NN|VBZ|HUM
How do I find out what cities are in a certain area code ?|How do what cities|WP|NNS|VB|DESC
What can communications satellites offer yachts ?|What can|WP|MD|VBP|ENTY
How many Fig Newtons are there to the pound ?|How many|WRB|JJ|VBP|NUM
Who is the premier of China ?|Who is|WP|VBZ|VBZ|HUM
What cigar-chewing comedian observed : '' You 're only as old as the woman you feel '' ?|What cigar|WP|NN|VBD|HUM
How many bones are there in the human hand ?|How many|WRB|JJ|VBP|NUM
What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?|What bread|WP|NN|VBD|HUM
Who was the president of Vichy France ?|Who was|WP|VBD|VBD|HUM
Whose kidnaping was termed The Crime of the Century ?|Whose kidnaping|WP$|NN|VBN|HUM
What is hydrogen ?|What is|WP|VBZ|VBZ|DESC
What group asked the musical question Do You Believe in Magic ?|What group|WP|NN|VBD|HUM
What was the tallest building in America in 1922 ?|What was|WP|VBD|VBD|LOC
What buxom blonde appeared on the cover of more than 5 magazines ?|What buxom|WP|JJ|VBD|HUM
What is recruitment interview technique ?|What is|WP|VBZ|VBZ|DESC
How does a hurricane form ?|How does|WRB|VBZ|NN|DESC
What does the donation process entail ?|What does|WP|VBZ|VB|DESC
How far is it from Phoenix to Blythe ?|How far|WRB|RB|VBZ|NUM
What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?|What New|WP|NNP|VBZ|LOC
How many people watch network television ?|How many|WRB|JJ|VBP|NUM
What garment was named for Bradley , Voorhees and Day ?|What garment|WP|NN|VBN|ENTY
Who first broke the sound barrier ?|Who first|WP|RB|VBD|HUM
How do birds have sex ?|How do|WRB|VBP|VB|DESC
How many horses are there on a polo team ?|How many|WRB|JJ|VBP|NUM
What's destroyed in Genesis 19 : 24 ?|What 's|WP|VBZ|VBN|ENTY
What new year is celebrated on February 16th ?|What new|WDT|JJ|VBN|ENTY
What is Occam's Razor ?|What is|WP|VBZ|VBZ|DESC
Where do the Grimace and Mayor McCheese live ?|Where do|WRB|VBP|VBP|LOC
How long does it take to hike the entire Appalachian Trail ?|How long|WRB|RB|VB|NUM
What role do fruits play in the survival of plants ?|What role|WDT|NN|VB|HUM
Where is the world championship sled dog race held each February ?|Where is|WRB|VBZ|VBZ|LOC
What are the medical purposes of '' clitoridectomy '' ?|What are|WP|VBP|VBP|DESC
How is thalassemia defined ?|How is|WRB|VBZ|VBN|DESC
What's the name of the Tampa newspaper ?|What 's|WP|VBZ|VBZ|ENTY
What is a storm surge ?|What is|WP|VBZ|VBZ|DESC
How do you use '' farther '' as opposed to '' further '' ?|How do|WRB|VBP|VB|DESC
What was the alternate to VHS ?|What was|WP|VBD|VBD|ENTY
What is one of the languages of the Sioux ?|What is|WP|VBZ|VBZ|ENTY
What Pulitzer Prize-winning novelist ran for mayor of New York City ?|What Pulitzer|WP|NNP|VBD|HUM
How many times can a nickel-cadmium rechargeable battery be recharged ?|How many|WRB|JJ|VBN|NUM
How is cologne made ?|How is|WRB|VBZ|VBN|DESC
What was the food of the Greek gods called ?|What was|WP|VBD|VBD|ENTY
What does camera-ready art mean ?|What does|WP|VBZ|VB|DESC
How many seats does the Batmobile sport ?|How many|WRB|JJ|VBZ|NUM
How many cards are dealt to each player in Gin Rummy ?|How many|WRB|JJ|VBN|NUM
What happened to Phillip Taylor Kramer ?|What happened|WP|VBD|VBD|DESC
What Erica Jong novel deals with Isadora Wing's fear ?|What Erica|WP|NNP|VBZ|ENTY
What time of year do most people fly ?|What time|WDT|NN|VBP|NUM
Who was Scrooge's dead partner in Dickens's A Christmas Carol ?|Who was|WP|VBD|VBD|HUM
What is the origin of the Christmas tree ?|What is|WP|VBZ|VBZ|DESC
When is the Thai New Year ?|When is|WRB|VBZ|VBZ|NUM
What four tournaments make up tennis ' Grand Slam ?|What four|WP|CD|VBP|ENTY
What 1964 film introduced the song My Kind of Town ?|What 1964|WP|CD|VBD|ENTY
Who recorded the 1957 hit Tammy ?|Who recorded|WP|VBD|VBD|HUM
What is the term for the side of the mountain that faces the prevailing winds ?|What is that faces|WDT|VBZ|VBZ|ENTY
In Kafka's Metamorphosis , the hero awakes one morning to find himself turned into what ?|what ?|WP|.|VBZ|ENTY
What does caliente translate to in English ?|What does|WP|VBZ|VB|ENTY
Who is Mia Farrow's mother ?|Who is|WP|VBZ|VBZ|HUM
How do you determine if a computer monitor has an SVGA adapter ?|How do|WRB|VBP|VB|DESC
How far can a human eye see ?|How far|WRB|RB|VB|NUM
What time of year has the most air travel ?|What time|WDT|NN|VBZ|NUM
What does the term '' spaghetti western '' mean ?|What does|WP|VBZ|NN|DESC
When was the G7 group of nations formed ?|When was|WRB|VBD|VBN|NUM
What are differences between 1980 and 1990 ?|What are|WP|VBP|VBP|DESC
What baseball player was walked the most times ?|What baseball|WP|NN|VBD|HUM
What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?|What famous|WP|JJ|VBZ|HUM
What were the first frozen foods ?|What were|WP|VBD|VBD|ENTY
Why is Indiglo called Indiglo ?|Why is|WRB|VBZ|VBN|DESC
What is the word for love of pain or abuse ?|What is|WP|VBZ|VBZ|ENTY
When did they canonize the Bible ?|When did|WRB|VBD|VB|NUM
Who was the only president to serve two nonconsecutive terms ?|Who was|WP|VBD|VBD|HUM
What percentage of all world tornados touch down in the US ?|What percentage|WP|NN|VBP|NUM
What labor leader was last seen in the parking lot of a Michigan restaurant ?|What labor|WP|NN|VBN|HUM
When did the Carolingian period begin ?|When did|WRB|VBD|NN|NUM
What motto ended Merrie Melodies cartoons ?|What motto|WP|NN|VBD|DESC
Who reports the weather on the '' Good Morning America '' television show ?|Who reports|WP|VBZ|VBZ|HUM
How many emperors were there in the Roman Empire ?|How many|WRB|JJ|VBD|NUM
What was the name of '' The Muppets '' creator ?|What was|WP|VBD|VBD|HUM
What is Cabarnet Sauvignon ?|What is|WP|VBZ|VBZ|DESC
What is a virtual IP address ?|What is|WP|VBZ|VBZ|DESC
What's the name of the tiger that advertises for Frosted Flakes cereal ?|What 's that advertises|WDT|VBZ|VBZ|ENTY
Who sent the brief message '' I came , I saw , I conquered '' ?|Who sent|WP|VBD|VBD|HUM
What color is Mr. Spock's blood ?|What color|WP|NN|VBZ|ENTY
What U.S. Air Force general led the first bombing raid over Tokyo ?|What U.S.|WP|NNP|VBD|HUM
What U.S. vice-president said : '' Some newspapers dispose of their garbage by printing it '' ?|What U.S.|WP|NNP|VBD|HUM
What was the name of the first Watergate special prosecutor , later fired by Nixon ?|What was|WP|VBD|VBD|HUM
How do movie blues screens work ?|How do|WRB|VBP|VBP|DESC
How does the speed the magnet spins in a generator affect the output of the generator ?|How does|WRB|VBZ|VB|DESC
What's the supreme policy-making bureau of the Soviet Communist Party ?|What 's|WP|VBZ|VBZ|HUM
What was the Vietnam War ?|What was|WP|VBD|VBD|DESC
What is La Nina ?|What is|WP|VBZ|VBZ|DESC
Why did the Globe Theatre burn down ?|Why did|WRB|VBD|VB|DESC
On what day were John F and Jackie Kennedy married ?|what day|WDT|NN|VBD|NUM
What was the non-fiction best-seller of 1952 , 1953 and 1954 ?|What was|WP|VBD|VBD|ENTY
What is meant by blood SED rate ?|What is|WP|VBZ|VBN|DESC
Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?|Who are|WP|VBP|VBP|HUM
Who won a Pulitzer Prize for his novel The Caine Mutiny ?|Who won|WP|VBD|VBD|HUM
What's the best way to lose the flab under your chin and around your face ?|What 's|WP|VBZ|VBZ|ENTY
Where is your corpus callosum ?|Where is|WRB|VBZ|VBZ|LOC
What Broadway musical featured the song , '' If I were a rich man ? ''|What Broadway|WP|NNP|VBD|ENTY
Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?|Who portrayed|WP|VBD|VBD|HUM
Why is the development of space so important ?|Why is|WRB|VBZ|VBZ|DESC
What is the nursery rhyme Rock-a-by Baby about ?|What is|WP|VBZ|VBZ|DESC
When Superman needs to get away from it all , where does he go ?|When Superman where does|WRB|VBZ|VB|LOC
How old is singer Freedy Johnston ?|How old|WRB|JJ|VBZ|NUM
What is the origin of gametophytic tissue ?|What is|WP|VBZ|VBZ|DESC
What does Aaron mean ?|What does|WP|VBZ|VB|DESC
What is a fear of hair ?|What is|WP|VBZ|VBZ|ENTY
What is the name of the pop singer whose song became the theme song for a brand of catsup ?|What is whose song|WP$|NN|VBD|HUM
What is a conifer ?|What is|WP|VBZ|VBZ|DESC
Who claimed to be the world's most perfectly-developed man ?|Who claimed|WP|VBD|VBD|HUM
What is different about the red and black fox ?|What is|WP|VBZ|VBZ|DESC
What is e-commerce ?|What is|WP|VBZ|VBZ|DESC
How do I tie a tie ?|How do|WRB|VBP|VB|DESC
Where can I get cotton textiles importer details ?|Where can|WRB|MD|VB|LOC
When did Spain and Korea start ambassadorial relations ?|When did|WRB|VBD|VBP|NUM
What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?|What kind|WDT|NN|VBD|HUM
What is chromatology ?|What is|WP|VBZ|VBZ|DESC
How many grooves are on a dime's edge ?|How many|WRB|JJ|VBP|NUM
How was the ACLU formed ?|How was|WRB|VBD|VBN|DESC
What are the most albums sold by one artist or band ?|What are|WP|VBP|VBP|ENTY
The second most popular sport worldwide is what ?|what ?|WP|.|VBZ|ENTY
What do goldfish lose if kept in dimly-lit or running water ?|What do|WP|VBP|VB|ENTY
What canal does the Thatcher Ferry Bridge span ?|What canal|WP|NN|NN|LOC
What American won the world Grand Prix driving championship in 1978 ?|What American|WP|NNP|VBD|HUM
What are the chances of pregnacy if the penis does not penetrate the vagina ?|What are|WP|VBP|VBP|NUM
What's the highest hand in straight poker ?|What 's|WP|VBZ|VBZ|ENTY
Where can I find a lesson plan for teaching the metric system conversion to American standard ?|Where can|WRB|MD|VB|LOC
What is the name of Kevin Costner's movie about Sioux Indians ?|What is|WP|VBZ|VBZ|ENTY
What are Kythnos , Siphnos , Seriphos and Mykonos ?|What are|WP|VBP|VBP|DESC
Name a female figure skater .||||VB|HUM
Why are there no white lines on pro footballs ?|Why are|WRB|VBP|VBP|DESC
How long would it take for a $ savings bond to mature ?|How long|WRB|RB|VB|NUM
How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?|How is|WRB|VBZ|VBD|DESC
What did the Congress of Vienna establish ?|What did|WP|VBD|VB|ENTY
What is the average cost for four years of medical school ?|What is|WP|VBZ|VBZ|NUM
What harmful chemicals are in bug spray ?|What harmful|WP|JJ|VBP|ENTY
How many spears are there on Kenya's flag ?|How many|WRB|JJ|VBP|NUM
What did Mighty Mouse always sing as he went into action ?|What did|WP|VBD|VBP|DESC
Where did George of the Jungle live ?|Where did|WRB|VBD|VB|LOC
How did Bob Marley die ?|How did|WRB|VBD|VB|DESC
What's men's par on a 455-yard golf hole ?|What 's|WP|VBZ|VBZ|NUM
What percentage of American men are alcoholic ?|What percentage|WP|NN|VBP|NUM
Dialing , 900 , 740-TREE to have a tree planted will cost how much ?|how much|WRB|JJ|VB|NUM
In South Korea , how many American Soldiers are there ?|how many|WRB|JJ|VBP|NUM
Who portrayed Carl Bernstein in All the President's Men ?|Who portrayed|WP|VBD|VBD|HUM
What are the numbers that fit into Fermont's last theorem ?|What are that fit|WDT|VBP|VBP|NUM
Who was Tiny Tim's father ?|Who was|WP|VBD|VBD|HUM
What does a heliologist study ?|What does|WP|VBZ|NN|ENTY
Who was Bonnie Blue Butler's father ?|Who was|WP|VBD|VBD|HUM
What shampoo prevents eczema , seborrhea , and psoriasis ?|What shampoo|WP|NN|VBZ|ENTY
How many Americans have HIV ?|How many|WRB|JJ|VBP|NUM
Where do I find information for foreclosure properties on the Internet ?|Where do|WRB|VBP|VBP|LOC
Who is the Antichrist ?|Who is|WP|VBZ|VBZ|HUM
What was the first English play written exclusively for children ?|What was|WP|VBD|VBD|ENTY
Which Latin American country is the largest ?|Which Latin|WDT|JJ|VBZ|LOC
What was the former residence of Scottish kings in Edinburgh ?|What was|WP|VBD|VBD|LOC
How many teats does a female goat sport ?|How many|WRB|JJ|VBZ|NUM
How tall is kilamanjaro ?|How tall|WRB|JJ|VBZ|NUM
Who was the lawyer who represented Randy Steven Craft ?|Who was who represented|WP|VBD|VBD|HUM
What country buys 25 percent of the world's tea exports ?|What country|WP|NN|VBZ|LOC
What country is the origin of the band the Creeps ?|What country|WP|NN|VBZ|LOC
What did the crocodile swallow in Peter Pan ?|What did|WP|VBD|VB|ENTY
What is the origin of the word '' mushroom '' ?|What is|WP|VBZ|VBZ|DESC
Which of the following celebrities was not born in Philadelphia ?|Which of|WDT|IN|VBN|HUM
What is the number of American soldiers deployed to South Korea ?|What is|WP|VBZ|VBZ|NUM
Where is the biggest bell ?|Where is|WRB|VBZ|VBZ|LOC
What is the brand name of the chemical daminozide ?|What is|WP|VBZ|VBZ|ENTY
How do microwaves work ?|How do|WRB|VBP|VB|DESC
What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?|What magazine|WP|NN|VBD|ENTY
What is the estimated total U.S. whitetail deer population ?|What is|WP|VBZ|VBZ|NUM
Who wrote the Farmer's Almanac ?|Who wrote|WP|VBD|VBD|HUM
What animal received royal assent as an emblem of Canada on March 24 , 1975 ?|What animal|WP|NN|VBD|ENTY
What number is at 12 o 'clock on a dartboard ?|What number|WP|NN|VBZ|NUM
Which team won the Super Bowl in 1968 ?|Which team|WDT|NN|VBD|HUM
What is the recommended daily requirement for folic acid for pregnant women ?|What is|WP|VBZ|VBZ|DESC
What film dramatized the Scopes monkey trial ?|What film|WP|NN|VBD|ENTY
CNN is owned by whom ?|whom ?|WP|.|VBN|HUM
What country offered Albert Einstein its presidency in 1952 ?|What country|WP|NN|VBD|LOC
What is the HIGHEST Roman numeral ?|What is|WP|VBZ|VBZ|DESC
What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?|What TV|WP|NN|VBD|ENTY
Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?|Who was who gained|WP|VBD|VBD|HUM
How is digital audio used ?|How is|WRB|VBZ|VBN|DESC
What is AFS ?|What is|WP|VBZ|VBZ|ABBR
Who was Quetzalcoatl ?|Who was|WP|VBD|VBD|HUM
What operating system do IBM-compatible machines use ?|What operating|WP|VBG|VBP|ENTY
What French leader sold Louisiana to the United States ?|What French|WP|JJ|VBD|HUM
What bay sparkles next to Miami , Florida ?|What bay|WP|NN|VBZ|LOC
How many miles of veins are in the circulatory system ?|How many|WRB|JJ|VBP|NUM
What famed river flows through Bagdad ?|What famed|WP|JJ|VBZ|LOC
How is bubble wrap made ?|How is|WRB|VBZ|VBN|DESC
What is Java ?|What is|WP|VBZ|VBZ|DESC
Who is the prime minister of Japan ?|Who is|WP|VBZ|VBZ|HUM
What player squats an average of 3 times during a baseball doubleheader ?|What player|WP|NN|VBZ|HUM
What's the most common name in nursery rhymes ?|What 's|WP|VBZ|VBZ|HUM
How many '' No '' answers was the What's My Line ? panel allowed ?|How many|WRB|JJ|JJ|NUM
What is the fine for having a dog on a beach ?|What is|WP|VBZ|VBZ|NUM
Who wrote the book , '' Song of Solomon '' ?|Who wrote|WP|VBD|VBD|HUM
Where can one find information on religion and health , the brain and nutrition ?|Where can|WRB|MD|VB|LOC
Name the Ranger who was always after Yogi Bear .|who was|WP|VBD|VB|HUM
What TV show did John Sebastian sing the theme for ?|What TV|WP|NN|VBP|ENTY
Who is the president of the Spanish government ?|Who is|WP|VBZ|VBZ|HUM
Who holds the career record for the most major league home runs ?|Who holds|WP|VBZ|VBZ|HUM
Which of the following actors worked in New York's Yiddish Theater ?|Which of|WDT|IN|VBD|HUM
Who invented the stethoscope ?|Who invented|WP|VBD|VBD|HUM
What is a mathematical factor ?|What is|WP|VBZ|VBZ|DESC
How many four star generals were there and who are they ?|How many who are|WP|VBP|VBD|NUM
When did Nixon die ?|When did|WRB|VBD|VB|NUM
What was originally defined as one 1-millionth of the distance from the equator to the Pole ?|What was|WP|VBD|VBN|ENTY
What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?|What comedian|WP|NN|VBD|HUM
How many members are in the California congressional delegation ?|How many|WRB|JJ|VBP|NUM
What erupts every hour at Yellowstone National Park ?|What erupts|WP|VBZ|VBZ|LOC
What country contains the highest point in South America ?|What country|WP|NN|VBZ|LOC
What are Arnold Palmer's fans called ?|What are|WP|VBP|VBP|HUM
Who retired with 755 home runs to his credit ?|Who retired|WP|VBD|VBD|HUM
What constellation represents a hunter with club and shield ?|What constellation|WDT|NN|VBZ|LOC
Who developed potlatch ?|Who developed|WP|VBD|VBD|HUM
How long did Shea and Gould practice law in Los Angeles ?|How long|WRB|RB|VBD|NUM
What's a perfect score in a gymnastics exercise ?|What 's|WP|VBZ|VBZ|NUM
What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?|What group|WP|NN|VBD|HUM
What made Jane Goodall famous ?|What made|WDT|VBD|VBD|DESC
At what age did Rossini stop writing opera ?|what age|WDT|NN|VB|NUM
What Russian seaport has a name meaning '' Lord of the East '' ?|What Russian|WP|JJ|VBZ|LOC
Name the two actress daughters of John Mills .||||VB|HUM
How old was Gene Siskel ?|How old|WRB|JJ|VBD|NUM
What can be done about snoring ?|What can|WP|MD|VBN|DESC
What Rocky Mountain ridge separates North America's eastward and westward-flowing rivers ?|What Rocky|WP|NNP|VBZ|LOC
Who is the actress Bette Davis once said she wished she looked like ?|Who is|WP|VBZ|VBZ|HUM
Who portrayed The Cowardly Lion in The Wizard of Oz ?|Who portrayed|WP|VBD|VBD|HUM
What does a chiropodist treat ?|What does|WP|VBZ|VB|ENTY
What is porphyria ?|What is|WP|VBZ|VBZ|DESC
What gate opened on East and West Berlin ?|What gate|WP|NN|VBD|LOC
Who was the first king of England ?|Who was|WP|VBD|VBD|HUM
What made the Finger Lakes in western New York state ?|What made|WDT|VBD|VBD|DESC
In what movie is the number nine found in the title ?|what movie|WP|NN|VBZ|ENTY
How many calories are there in soy sauce ?|How many|WRB|JJ|VBP|NUM
Who killed Kurt Cobain ?|Who killed|WP|VBD|VBD|HUM
Who created the monster in Mary Shelley's novel Frankenstein ?|Who created|WP|VBD|VBD|HUM
What's the farthest planet from the sun ?|What 's|WP|VBZ|VBZ|LOC
Why does the sun shine only a short time in Alaska ?|Why does|WRB|VBZ|VBP|DESC
What chemical in red wine is good for the heart and what exactly does it do to your body ?|What chemical what exactly|WP|RB|VBZ|ENTY
How does blood clot ?|How does|WRB|VBZ|NN|DESC
How big is our galaxy in diameter ?|How big|WRB|JJ|VBZ|NUM
What product '' doubles your pleasure , doubles your fun '' ?|What product|WP|NN|VBZ|ENTY
When is a woman most fertile ?|When is|WRB|VBZ|VBZ|NUM
What son of a 15-year-old Mexican girl and a half-Irish father became the world's most famous Greek ?|What son|WDT|NN|VBD|HUM
Who was the first man to return to space ?|Who was|WP|VBD|VBD|HUM
What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?|What brand|WP|NN|VBP|ENTY
Who gave Abbie Hoffman his first dose of LSD ?|Who gave|WP|VBD|VBD|HUM
What effect does friction have on perpetual motion ?|What effect|WDT|NN|VB|DESC
What did the Seven Dwarfs do for a living ?|What did|WP|VBD|VBP|HUM
What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?|What 4-foot-9|WP|VBZ|VBD|HUM
Who shot Billy the Kid ?|Who shot|WP|VBD|VBD|HUM
What is he doing now ?|What is|WP|VBZ|VBG|DESC
What Mormon leader was said to have had 27 wives ?|What Mormon|WP|NNP|VBN|HUM
What video format was an alternative to VHS ?|What video|WP|NN|VBD|ENTY
Where did the term '' 69 '' come from ?|Where did|WRB|VBD|VB|DESC
What is money made of ?|What is|WP|VBZ|VBZ|ENTY
What's the name of a hotel in Indianapolis ?|What 's|WP|VBZ|VBZ|LOC
How many people in Tucson ?|How many|WRB|JJ|NNS|NUM
Where is Melbourne ?|Where is|WRB|VBZ|VBZ|LOC
With whom did Bush compare Saddam Hussein ?|whom did|WP|VBD|VB|HUM
What country was Mikhail Gorbachev the leader of ?|What country|WP|NN|VBD|LOC
What is the recommended weight of a 15 year-old male that is 5 , 6 ?|What is that is|WDT|VBZ|VBZ|NUM
What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?|What pillar|WP|NN|VBD|HUM
What is the largest county in size in Massachusetts ?|What is|WP|VBZ|VBZ|LOC
What is the name of the brilliant British economist behind its creation ?|What is|WP|VBZ|VBZ|HUM
Who played Sally Rogers on The Dick Van Dyke Show ?|Who played|WP|VBD|VBD|HUM
What is it like to experience a near death episode ?|What is|WP|VBZ|IN|DESC
What mythical figure carries an hourglass and a scythe ?|What mythical|WP|JJ|VBZ|HUM
How much is a Canadian 1967 twenty dollar gold coin worth ?|How much|WRB|JJ|VBZ|NUM
Why didn 't European colonial rule spread until after the first and second industrial revolutions ?|Why didn|WRB|NN|NN|DESC
What natural attractions draw the most visitors in the United States ?|What natural|WP|JJ|VBP|LOC
What presidential administration challenged Americans to explore The New Frontier ?|What presidential|WP|JJ|VBD|HUM
How many years did Sleeping Beauty sleep ?|How many|WRB|JJ|VBG|NUM
How long does it take for your body to restore blood after you donate your blood ?|How long|WRB|RB|VB|NUM
How do I know someone is truly in love with me ?|How do|WRB|VBP|VB|DESC
Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?|Which of|WDT|IN|VBN|ENTY
