Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
What is chromatology ?|What|What is|WP|VBZ|VBZ|DESC
How many grooves are on a dime's edge ?|How|How many|WRB|JJ|VBP|NUM
How was the ACLU formed ?|How|How was|WRB|VBD|VBN|DESC
What are the most albums sold by one artist or band ?|What|What are|WP|VBP|VBP|ENTY
The second most popular sport worldwide is what ?|what|what ?|WP|.|VBZ|ENTY
What do goldfish lose if kept in dimly-lit or running water ?|What|What do|WP|VBP|VB|ENTY
What canal does the Thatcher Ferry Bridge span ?|What|What canal|WDT|NN|NN|LOC
What American won the world Grand Prix driving championship in 1978 ?|What|What American|WP|NNP|VBD|HUM
What are the chances of pregnacy if the penis does not penetrate the vagina ?|What|What are|WP|VBP|VBP|NUM
What's the highest hand in straight poker ?|What|What 's|WP|VBZ|VBZ|ENTY
Where can I find a lesson plan for teaching the metric system conversion to American standard ?|Where|Where can|WRB|MD|VB|LOC
What is the name of Kevin Costner's movie about Sioux Indians ?|What|What is|WP|VBZ|VBZ|ENTY
What are Kythnos , Siphnos , Seriphos and Mykonos ?|What|What are|WP|VBP|VBP|DESC
Why are there no white lines on pro footballs ?|Why|Why are|WRB|VBP|VBP|DESC
How long would it take for a $ savings bond to mature ?|How|How long|WRB|RB|VB|NUM
How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?|How|How is|WRB|VBZ|VBZ|DESC
What did the Congress of Vienna establish ?|What|What did|WP|VBD|VB|ENTY
What is the average cost for four years of medical school ?|What|What is|WP|VBZ|VBZ|NUM
What harmful chemicals are in bug spray ?|What|What harmful|WP|JJ|VBP|ENTY
How many spears are there on Kenya's flag ?|How|How many|WRB|JJ|VBP|NUM
What did Mighty Mouse always sing as he went into action ?|What|What did|WP|VBD|VBP|DESC
Where did George of the Jungle live ?|Where|Where did|WRB|VBD|VBP|LOC
How did Bob Marley die ?|How|How did|WRB|VBD|VB|DESC
What's men's par on a 455-yard golf hole ?|What|What 's|WP|VBZ|VBZ|NUM
What percentage of American men are alcoholic ?|What|What percentage|WDT|NN|VBP|NUM
Dialing , 900 , 740-TREE to have a tree planted will cost how much ?|how|how much|WRB|JJ|VB|NUM
In South Korea , how many American Soldiers are there ?|how|how many|WRB|JJ|VBP|NUM
Who portrayed Carl Bernstein in All the President's Men ?|Who|Who portrayed|WP|VBD|VBD|HUM
What are the numbers that fit into Fermont's last theorem ?|that|What are that fit|WDT|VBP|VBP|NUM
Who was Tiny Tim's father ?|Who|Who was|WP|VBD|VBD|HUM
What does a heliologist study ?|What|What does|WP|VBZ|NN|ENTY
Who was Bonnie Blue Butler's father ?|Who|Who was|WP|VBD|VBD|HUM
What shampoo prevents eczema , seborrhea , and psoriasis ?|What|What shampoo|WDT|NN|VBZ|ENTY
How many Americans have HIV ?|How|How many|WRB|JJ|VBP|NUM
Where do I find information for foreclosure properties on the Internet ?|Where|Where do|WRB|VBP|VB|LOC
Who is the Antichrist ?|Who|Who is|WP|VBZ|VBZ|HUM
What was the first English play written exclusively for children ?|What|What was|WP|VBD|VBD|ENTY
Which Latin American country is the largest ?|Which|Which Latin|WDT|JJ|VBZ|LOC
What was the former residence of Scottish kings in Edinburgh ?|What|What was|WP|VBD|VBD|LOC
How many teats does a female goat sport ?|How|How many|WRB|JJ|VBZ|NUM
How tall is kilamanjaro ?|How|How tall|WRB|JJ|VBZ|NUM
Who was the lawyer who represented Randy Steven Craft ?|who|Who was who represented|WP|VBD|VBD|HUM
What country buys 25 percent of the world's tea exports ?|What|What country|WP|NN|VBZ|LOC
What country is the origin of the band the Creeps ?|What|What country|WDT|NN|VBZ|LOC
What did the crocodile swallow in Peter Pan ?|What|What did|WP|VBD|VB|ENTY
What is the origin of the word '' mushroom '' ?|What|What is|WP|VBZ|VBZ|DESC
Which of the following celebrities was not born in Philadelphia ?|Which|Which of|WDT|IN|VBN|HUM
What is the number of American soldiers deployed to South Korea ?|What|What is|WP|VBZ|VBZ|NUM
Where is the biggest bell ?|Where|Where is|WRB|VBZ|VBZ|LOC
What is the brand name of the chemical daminozide ?|What|What is|WP|VBZ|VBZ|ENTY
How do microwaves work ?|How|How do|WRB|VBP|NN|DESC
What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?|What|What magazine|WDT|NN|VBD|ENTY
What is the estimated total U.S. whitetail deer population ?|What|What is|WP|VBZ|VBZ|NUM
Who wrote the Farmer's Almanac ?|Who|Who wrote|WP|VBD|VBD|HUM
What animal received royal assent as an emblem of Canada on March 24 , 1975 ?|What|What animal|WDT|NN|VBD|ENTY
What number is at 12 o 'clock on a dartboard ?|What|What number|WDT|NN|VBZ|NUM
Which team won the Super Bowl in 1968 ?|Which|Which team|WDT|NN|VBD|HUM
What is the recommended daily requirement for folic acid for pregnant women ?|What|What is|WP|VBZ|VBZ|DESC
What film dramatized the Scopes monkey trial ?|What|What film|WDT|NN|VBD|ENTY
CNN is owned by whom ?|whom|whom ?|WP|.|VBN|HUM
What country offered Albert Einstein its presidency in 1952 ?|What|What country|WDT|NN|VBD|LOC
What is the HIGHEST Roman numeral ?|What|What is|WP|VBZ|VBZ|DESC
What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?|What|What TV|WP|NN|VBD|ENTY
Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?|who|Who was who gained|WP|VBD|VBD|HUM
How is digital audio used ?|How|How is|WRB|VBZ|VBN|DESC
What is AFS ?|What|What is|WP|VBZ|VBZ|ABBR
Who was Quetzalcoatl ?|Who|Who was|WP|VBD|VBD|HUM
What operating system do IBM-compatible machines use ?|What|What operating|WP|VBG|VBP|ENTY
What French leader sold Louisiana to the United States ?|What|What French|WDT|JJ|VBD|HUM
What bay sparkles next to Miami , Florida ?|What|What bay|WDT|NN|VBZ|LOC
How many miles of veins are in the circulatory system ?|How|How many|WRB|JJ|VBP|NUM
What famed river flows through Bagdad ?|What|What famed|WP|JJ|VBZ|LOC
How is bubble wrap made ?|How|How is|WRB|VBZ|VBZ|DESC
What is Java ?|What|What is|WP|VBZ|VBZ|DESC
Who is the prime minister of Japan ?|Who|Who is|WP|VBZ|VBZ|HUM
What player squats an average of 3 times during a baseball doubleheader ?|What|What player|WDT|NN|VBZ|HUM
What's the most common name in nursery rhymes ?|What|What 's|WP|VBZ|VBZ|HUM
How many '' No '' answers was the What's My Line ? panel allowed ?|What|How many What 's|WP|VBZ|VBD|NUM
What is the fine for having a dog on a beach ?|What|What is|WP|VBZ|VBZ|NUM
Who wrote the book , '' Song of Solomon '' ?|Who|Who wrote|WP|VBD|VBD|HUM
Where can one find information on religion and health , the brain and nutrition ?|Where|Where can|WRB|MD|VB|LOC
Name the Ranger who was always after Yogi Bear .|who|who was|WP|VBD|VB|HUM
What TV show did John Sebastian sing the theme for ?|What|What TV|WDT|NN|VB|ENTY
Who is the president of the Spanish government ?|Who|Who is|WP|VBZ|VBZ|HUM
Who holds the career record for the most major league home runs ?|Who|Who holds|WP|VBZ|VBZ|HUM
Which of the following actors worked in New York's Yiddish Theater ?|Which|Which of|WDT|IN|WDT|HUM
Who invented the stethoscope ?|Who|Who invented|WP|VBD|VBD|HUM
What is a mathematical factor ?|What|What is|WP|VBZ|VBZ|DESC
How many four star generals were there and who are they ?|who|How many who are|WP|VBP|VBD|NUM
When did Nixon die ?|When|When did|WRB|VBD|VB|NUM
What was originally defined as one 1-millionth of the distance from the equator to the Pole ?|What|What was|WP|VBD|VBN|ENTY
What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?|What|What comedian|WDT|NN|VBD|HUM
How many members are in the California congressional delegation ?|How|How many|WRB|JJ|VBP|NUM
What erupts every hour at Yellowstone National Park ?|What|What erupts|WP|VBZ|VBZ|LOC
What country contains the highest point in South America ?|What|What country|WP|NN|VBZ|LOC
What are Arnold Palmer's fans called ?|What|What are|WP|VBP|VBP|HUM
Who retired with 755 home runs to his credit ?|Who|Who retired|WP|VBD|VBD|HUM
What constellation represents a hunter with club and shield ?|What|What constellation|WDT|NN|VBZ|LOC
Who developed potlatch ?|Who|Who developed|WP|VBD|VBD|HUM
How long did Shea and Gould practice law in Los Angeles ?|How|How long|WRB|RB|NN|NUM
What's a perfect score in a gymnastics exercise ?|What|What 's|WP|VBZ|VBZ|NUM
What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?|What|What group|WDT|NN|VBD|HUM
What made Jane Goodall famous ?|What|What made|WP|VBD|VBD|DESC
At what age did Rossini stop writing opera ?|what|what age|WP|NN|VB|NUM
What Russian seaport has a name meaning '' Lord of the East '' ?|What|What Russian|WDT|JJ|VBZ|LOC
How old was Gene Siskel ?|How|How old|WRB|JJ|VBD|NUM
What can be done about snoring ?|What|What can|WP|MD|VBN|DESC
What Rocky Mountain ridge separates North America's eastward and westward-flowing rivers ?|What|What Rocky|WP|NNP|VBZ|LOC
Who is the actress Bette Davis once said she wished she looked like ?|Who|Who is|WP|VBZ|VBZ|HUM
Who portrayed The Cowardly Lion in The Wizard of Oz ?|Who|Who portrayed|WP|VBD|VBD|HUM
What does a chiropodist treat ?|What|What does|WP|VBZ|VB|ENTY
What is porphyria ?|What|What is|WP|VBZ|VBZ|DESC
What gate opened on East and West Berlin ?|What|What gate|WDT|NN|VBD|LOC
Who was the first king of England ?|Who|Who was|WP|VBD|VBD|HUM
What made the Finger Lakes in western New York state ?|What|What made|WP|VBD|VBD|DESC
In what movie is the number nine found in the title ?|what|what movie|WP|NN|VBZ|ENTY
How many calories are there in soy sauce ?|How|How many|WRB|JJ|VBP|NUM
Who killed Kurt Cobain ?|Who|Who killed|WP|VBD|VBD|HUM
Who created the monster in Mary Shelley's novel Frankenstein ?|Who|Who created|WP|VBD|VBD|HUM
What's the farthest planet from the sun ?|What|What 's|WP|VBZ|VBZ|LOC
Why does the sun shine only a short time in Alaska ?|Why|Why does|WRB|VBZ|VB|DESC
What chemical in red wine is good for the heart and what exactly does it do to your body ?|what|What chemical what exactly|WP|RB|VBZ|ENTY
How does blood clot ?|How|How does|WRB|VBZ|NN|DESC
How big is our galaxy in diameter ?|How|How big|WRB|JJ|VBZ|NUM
What product '' doubles your pleasure , doubles your fun '' ?|What|What product|WDT|NN|VBZ|ENTY
When is a woman most fertile ?|When|When is|WRB|VBZ|VBZ|NUM
What son of a 15-year-old Mexican girl and a half-Irish father became the world's most famous Greek ?|What|What son|WDT|NN|VBD|HUM
Who was the first man to return to space ?|Who|Who was|WP|VBD|VBD|HUM
What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?|What|What brand|WDT|NN|VBP|ENTY
Who gave Abbie Hoffman his first dose of LSD ?|Who|Who gave|WP|VBD|VBD|HUM
What effect does friction have on perpetual motion ?|What|What effect|WDT|NN|VB|DESC
What did the Seven Dwarfs do for a living ?|What|What did|WP|VBD|VBP|HUM
What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?|What|What 4-foot-9|WP|CD|VBD|HUM
Who shot Billy the Kid ?|Who|Who shot|WP|VBD|VBD|HUM
What is he doing now ?|What|What is|WP|VBZ|VBG|DESC
What Mormon leader was said to have had 27 wives ?|What|What Mormon|WP|NNP|VBN|HUM
What video format was an alternative to VHS ?|What|What video|WDT|NN|VBD|ENTY
Where did the term '' 69 '' come from ?|Where|Where did|WRB|VBD|VBN|DESC
What is money made of ?|What|What is|WP|VBZ|VBZ|ENTY
What's the name of a hotel in Indianapolis ?|What|What 's|WP|VBZ|VBZ|LOC
How many people in Tucson ?|How|How many|WRB|JJ|NNS|NUM
Where is Melbourne ?|Where|Where is|WRB|VBZ|VBZ|LOC
With whom did Bush compare Saddam Hussein ?|whom|whom did|WP|VBD|VB|HUM
What country was Mikhail Gorbachev the leader of ?|What|What country|WDT|NN|VBD|LOC
What is the recommended weight of a 15 year-old male that is 5 , 6 ?|that|What is that is|WDT|VBZ|VBZ|NUM
What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?|What|What pillar|WDT|NN|VBD|HUM
What is the largest county in size in Massachusetts ?|What|What is|WP|VBZ|VBZ|LOC
What is the name of the brilliant British economist behind its creation ?|What|What is|WP|VBZ|VBZ|HUM
Who played Sally Rogers on The Dick Van Dyke Show ?|Who|Who played|WP|VBD|VBD|HUM
What is it like to experience a near death episode ?|What|What is|WP|VBZ|VBZ|DESC
What mythical figure carries an hourglass and a scythe ?|What|What mythical|WDT|JJ|VBZ|HUM
How much is a Canadian 1967 twenty dollar gold coin worth ?|How|How much|WRB|JJ|VBZ|NUM
Why didn 't European colonial rule spread until after the first and second industrial revolutions ?|Why|Why didn|WRB|VBP|VBN|DESC
What natural attractions draw the most visitors in the United States ?|What|What natural|WDT|JJ|VBP|LOC
What presidential administration challenged Americans to explore The New Frontier ?|What|What presidential|WDT|JJ|VBD|HUM
How many years did Sleeping Beauty sleep ?|How|How many|WRB|JJ|VB|NUM
How long does it take for your body to restore blood after you donate your blood ?|How|How long|WRB|RB|VB|NUM
How do I know someone is truly in love with me ?|How|How do|WRB|VBP|VB|DESC
Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?|Which|Which of|WDT|IN|VBN|ENTY
What is literary criticism ?|What|What is|WP|VBZ|VBZ|DESC
How do you throw a housewarming party ?|How|How do|WRB|VBP|VB|DESC
What international sport was originally called hurley ?|What|What international|WDT|JJ|VBN|ENTY
What river runs through Liverpool ?|What|What river|WDT|NN|VBZ|LOC
What famous British actor lost his voice after an operation in 1966 ?|What|What famous|WDT|JJ|VBD|HUM
What does the term 3 mean to a newspaper editor ?|What|What does|WP|VBZ|VB|DESC
What company makes impulse hardening equipment ?|What|What company|WDT|NN|VBZ|HUM
What country was Kim Philby really working for ?|What|What country|WDT|NN|VBG|LOC
What does Freddy Freeman say to become Captain Marvel Jr. ?|What|What does|WP|VBZ|VB|DESC
What country was Hitler the chancellor of ?|What|What country|WDT|NN|VBD|LOC
What is Rona Barrett's married name ?|What|What is|WP|VBZ|VBZ|HUM
How many years make up a lustrum ?|How|How many|WRB|JJ|VBP|NUM
What are close encounters of the first and second kind ?|What|What are|WP|VBP|VBP|ENTY
Who is the mathematician that won the Noble Prize for Literature in 1950 ?|that|Who is that won|WDT|VBD|VBZ|HUM
Which glamorous actress is a close friend of Dick Tracy ?|Which|Which glamorous|WDT|JJ|VBZ|HUM
What 1956 Grace Metalious novel was on the best-seller list for two years ?|What|What 1956|WP|CD|VBD|ENTY
How old is the Italian artist Maurizio Pellegrin ?|How|How old|WRB|JJ|VBZ|NUM
What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?|What|What President|WP|NNP|VBD|HUM
What is the distinction of Erle Stanley Gardner's The Case of the Terrified Typist ?|What|What is|WP|VBZ|VBZ|DESC
What North American city would you visit to see Cleopatra's Needle ?|What|What North|WP|JJ|VB|LOC
When was the NFL established ?|When|When was|WRB|VBD|VBN|NUM
Where can I find an Ask An Expert site ?|Where|Where can|WRB|MD|VB|LOC
What writer-journalist made his mark describing colorful Broadway and underworld characters ?|What|What writer|WDT|NN|VBD|HUM
What U.S. state has the lowest highest elevation at 6 feet ?|What|What U.S.|WP|NNP|VBZ|LOC
What are the residents of the island of Lesbos called ?|What|What are|WP|VBP|VBP|HUM
What is the organizational structure of the New Delhi Indira Gandhi airport ?|What|What is|WP|VBZ|VBZ|ENTY
At Christmas time , what is the traditional thing to do under the mistletoe ?|what|what is|WP|VBZ|VBZ|ENTY
What baseball great plugged Mr. Coffee ?|What|What baseball|WDT|NN|VBD|HUM
What international amateur sports spectacle was first telecast in 1956 ?|What|What international|WDT|JJ|NN|ENTY
What is the origin of the word '' amen '' ?|What|What is|WP|VBZ|NNS|DESC
Who's baby was Sweet Pea on the Popeye cartoon ?|Who|Who 's|WP|POS|VBD|HUM
Where is Mile High Stadium ?|Where|Where is|WRB|VBZ|VBZ|LOC
What were Baffin , Frobisher and Franklin looking for ?|What|What were|WP|VBD|VBG|ENTY
What is limbo ?|What|What is|WP|VBZ|VBZ|DESC
What city contains the district of Hell's Kitchen ?|What|What city|WDT|NN|VBZ|LOC
What interesting method was used to run the credits in the early Popeye cartoons ?|What|What interesting|WP|JJ|VBN|ENTY
What are the stars made of ?|What|What are|WP|VBP|VBP|ENTY
What English physician was born on January 18 , 1779 and went on to create two important inventions ?|What|What English|WDT|JJ|VBN|HUM
Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?|Who|Who did|WP|VBD|VB|HUM
How fast must a spacecraft travel to escape Earth's gravity ?|How|How fast|WRB|RB|NN|NUM
What apostle is Taylor Caldwell's Great Lion of God ?|What|What apostle|WDT|NN|VBZ|HUM
How many rings are there on a five-zone archery target ?|How|How many|WRB|JJ|VBP|NUM
What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?|What|What anesthetic|WP|VBD|VB|ENTY
What element , from the Periodic Table , is a gas or a solid , but never a liquid ?|What|What element|WDT|NN|VBZ|ENTY
What is a tonne ?|What|What is|WP|VBZ|VBZ|DESC
Which one of the Great Lakes is entirely within U.S. territory ?|Which|Which one|WDT|CD|VBZ|LOC
What is DEET ?|What|What is|WP|VBZ|VBZ|ABBR
What company sells the most greeting cards ?|What|What company|WDT|NN|VBZ|HUM
What U.S. state has sagebrush as its state flower ?|What|What U.S.|WP|NNP|VBZ|LOC
What is the Bernoulli Principle ?|What|What is|WP|VBZ|VBZ|DESC
What's comic strip photographer Peter Parker's secret identity ?|What|What 's|WP|VBZ|VBZ|HUM
What is difference between a poster and a print ?|What|What is|WP|VBZ|VBZ|DESC
In which sport is there a '' scrum '' ?|which|which sport|WDT|NN|VBZ|ENTY
What are the best ways to improve employee morale at low cost ?|What|What are|WP|VBP|VBP|ENTY
What nationality is Pope John Paul II ?|What|What nationality|WDT|NN|VBZ|LOC
What is false consciousness ?|What|What is|WP|VBZ|VBZ|DESC
How did the Great Depression affect Japan's history ?|How|How did|WRB|VBD|VBP|DESC
Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?|Which|Which side|WDT|NN|VBD|ENTY
Where are some great educational resources for parents and teachers ?|Where|Where are|WRB|VBP|VBP|LOC
How many Israeli athletes were killed at the Munich Olympics ?|How|How many|WRB|JJ|VBN|NUM
What is the Scotch '' for people who know the difference '' ?|who|What is who know|WP|VBP|VBZ|ENTY
When was Richard Nixon born ?|When|When was|WRB|VBD|VBD|NUM
What New York City landmark has 168 steps to its crown ?|What|What New|WP|NNP|VBZ|LOC
Where is the Bulls basketball team based ?|Where|Where is|WRB|VBZ|VBZ|LOC
What is the recomended age to switch a child from a crib to a bed ?|What|What is|WP|VBZ|VBZ|NUM
Which Rockefeller was sometimes called '' JDR3 '' ?|Which|Which Rockefeller|WDT|NNP|VBN|HUM
When is the Sun closest to the Earth ?|When|When is|WRB|VBZ|VBZ|NUM
What are some chemical properties of mendelevium ?|What|What are|WP|VBP|VBP|DESC
What is the average hours per months spent online by AOL users ?|What|What is|WP|VBZ|VBZ|NUM
Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?|Whom|Whom did|WP|VBD|VB|HUM
What is the origin of the word '' sideburns '' ?|What|What is|WP|VBZ|VBZ|DESC
The trials resulting from World War II are known as what ?|what|what ?|WP|.|VBN|ENTY
What started in 1849 when gold was discovered at Sutter's Mill ?|when|What started when gold|WRB|NN|VBD|ENTY
What is a First World country ?|What|What is|WP|VBZ|VBZ|DESC
Who was Shakespeare's Moorish general ?|Who|Who was|WP|VBD|VBD|HUM
What's the second-highest mountain in the world ?|What|What 's|WP|VBZ|VBZ|LOC
What country was Erich Honecker the leader of ?|What|What country|WDT|NN|VBD|LOC
How does salt melt ice and snow ?|How|How does|WRB|VBZ|VB|DESC
What two Japanese cities are spelled with the letters K , O , O , T and Y ?|What|What two|WP|CD|VBN|LOC
What does laser stand for ?|What|What does|WP|VBZ|VB|DESC
Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?|Who|Who taught|WP|VBD|VBD|HUM
Where did Wile E. Coyote always get his devices ?|Where|Where did|WRB|VBD|VBP|LOC
How far away is the moon ?|How|How far|WRB|RB|VBZ|NUM
What famous film and TV cowboy lent his name to a fast food chain ?|What|What famous|WDT|JJ|VBD|HUM
What is mandibulofacial dysostosis ?|What|What is|WP|VBZ|VBZ|DESC
What was the reason for the partition of the Anglican and Vatican churches ?|What|What was|WP|VBD|VBD|DESC
What is Butterfield 8 in Butterfield 8 ?|What|What is|WP|VBZ|VBZ|DESC
Who famously rode to warn the people of Massachusetts that the British were coming ?|Who|Who famously|WP|RB|VBD|HUM
What is DTMF ?|What|What is|WP|VBZ|VBN|ABBR
What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?|What|What blew|WP|VBD|VBD|ENTY
Who commanded the French forces at the Battle of Orleans ?|Who|Who commanded|WP|VBD|VBD|HUM
Where can an individual get a contact lens tested that burned the entire surface of eye when new ?|when|Where can that burned when new|WRB|JJ|VB|LOC
What countries does the Mont Blanc Tunnel join ?|What|What countries|WDT|NNS|VBP|LOC
What ill-fated craft was captained by Ernst Lehmann ?|What|What ill|WP|RB|VBN|ENTY
When did Amtrak begin operations ?|When|When did|WRB|VBD|VB|NUM
How many bones are in the human hand ?|How|How many|WRB|JJ|VBP|NUM
How many chemical elements are there ?|How|How many|WRB|JJ|VBP|NUM
What eastern state sprouted the first commercial nuclear power plant in the U.S. ?|What|What eastern|WDT|JJ|VBD|LOC
What are the three most populated countries in the world ?|What|What are|WP|VBP|VBP|LOC
Who led the opposition when Konrad Adenauer was Chancellor in Germany ?|when|Who led when Konrad|WRB|NNP|VBD|HUM
What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?|What|What is|WP|VBZ|VBZ|NUM
What is the youngest age a boy or girl can have an orgasm ?|What|What is|WP|VBZ|VB|NUM
What color is the lipstick on Boy George's wax lips at London's Madame Tussaud's ?|What|What color|WDT|NN|VBZ|ENTY
What is the origin of the candy cane at Christmas ?|What|What is|WP|VBZ|VBZ|DESC
What is the brand name of a chemical used to control ripening ?|What|What is|WP|VBZ|VBZ|ENTY
What terror of the sea did Johnny Horton sing about ?|What|What terror|WDT|NN|VB|ENTY
What is the largest office block in the world ?|What|What is|WP|VBZ|VBZ|LOC
Who turned all he touched to gold ?|Who|Who turned|WP|VBD|VBD|HUM
What is the medical term for cancer of the blood ?|What|What is|WP|VBZ|VBZ|ENTY
Who plays shortstop for Charlie Brown's baseball team ?|Who|Who plays|WP|VBZ|VBZ|HUM
What country did the Romans call Hibernia ?|What|What country|WP|NN|VB|LOC
Who was the most famous food editor of The New York Times ?|Who|Who was|WP|VBD|VBD|HUM
How many dogs pull a sled in the Iditarod ?|How|How many|WRB|JJ|VBP|NUM
What's a male witch called ?|What|What 's|WP|VBZ|VBZ|ENTY
How long does cocaine stay in your system ?|How|How long|WRB|RB|VB|NUM
What two countries fought the Hundred Years ' War ?|What|What two|WP|CD|VBD|LOC
Who was the last U.S. president to reinstate Selective Service registration ?|Who|Who was|WP|VBD|VBD|HUM
On which dates does the running of the bulls occur in Pamplona , Spain ?|which|which dates|WDT|VBZ|VBZ|NUM
What was the name of the lawyer who represented Randy Steven Craft ?|who|What was who represented|WP|VBD|VBD|HUM
What happens to used motor oil ?|What|What happens|WP|VBZ|VBZ|DESC
What is the most commonly used 1 letter word in the English language ?|What|What is|WP|VBZ|VBZ|ENTY
What actress's autobiography is titled Shelley : Also Known as Shirley ?|What|What actress|WDT|NN|VBN|HUM
How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?|How|How many|WRB|JJ|VBD|NUM
How did the 7th inning stretch get started ?|How|How did|WRB|VBD|VBN|DESC
Who lived on the shores of the Gitchee Gumee River ?|Who|Who lived|WP|VBD|VBD|HUM
What did Tristan come back as ?|What|What did|WP|VBD|VB|ENTY
What country will hit the year 2 first ?|What|What country|WDT|NN|VB|LOC
What colors make up a rainbow ?|What|What colors|WP|NNS|VBP|ENTY
What war did Johnny Reb and Billy Yank fight ?|What|What war|WDT|NN|VB|ENTY
Who is section manager for guidance and control systems at JPL ?|Who|Who is|WP|VBZ|VBZ|HUM
What is Goldfinger's first name ?|What|What is|WP|VBZ|VBZ|HUM
What square is the geographical center of London ?|What|What square|WDT|NN|VBZ|LOC
Which of the following famous people does not paint as a hobby ?|Which|Which of|WDT|IN|VB|HUM
What is the most populated city in the world ?|What|What is|WP|VBZ|VBZ|LOC
How many pitchers occupy the shelf beside the crouching woman in Edgar Degas's 1886 painting The Tub ?|How|How many|WRB|JJ|VBP|NUM
What is the cost of the drugs used in tuberculosis treatments ?|What|What is|WP|VBZ|VBZ|NUM
What does JESSICA mean ?|What|What does|WP|VBZ|VB|ABBR
What famed gangland slaughter cut into the membership of Bugs Moran's outfit ?|What|What famed|WDT|JJ|VBN|ENTY
Ray Charles is best known for playing what instrument ?|what|what instrument|WP|NN|VBN|ENTY
Where did Victor Hugo spend his exile ?|Where|Where did|WRB|VBD|VB|LOC
What was Nine Tailors , the television show from 1974 , about ?|What|What was|WP|VBD|VBD|DESC
How does the Elongated Man know a mystery is afoot ?|How|How does|WRB|VBZ|VBP|DESC
What food of the three bears did Goldilocks eat ?|What|What food|WDT|NN|VB|ENTY
What is Boston Kreme ?|What|What is|WP|VBZ|VBZ|DESC
Who should I call to get a tour of the New York Stock Exchange ?|Who|Who should|WP|MD|VB|HUM
How many airline schools are there in the U.S. ?|How|How many|WRB|JJ|VBP|NUM
What U.S. general died December 1 , 1945 , when his jeep collided with a truck ?|when|What U.S. when his|WRB|PRP$|VBD|HUM
What is a swatch ?|What|What is|WP|VBZ|VBZ|DESC
What does Ouija mean ?|What|What does|WP|VBZ|VB|DESC
How many major Nazi leaders went on trial after the war at Nuremberg ?|How|How many|WRB|JJ|VBD|NUM
What kind of fish is a coney ?|What|What kind|WDT|NN|VBZ|ENTY
What state did Helen Keller call home ?|What|What state|WDT|NN|VB|LOC
What was the name of the director of the movie '' Jaws '' ?|What|What was|WP|VBD|VBD|HUM
What steps can be taken to prevent diabetes ?|What|What steps|WDT|NNS|VBN|DESC
What were the first words spoken on a film sound track ?|What|What were|WP|VBD|VBD|DESC
What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell's tomato soup ?|What|What year|WDT|NN|VBN|NUM
What country's royal house is Bourbon-Parma ?|What|What country|WP|NN|VBZ|LOC
What film was Jude Law in ?|What|What film|WDT|NN|VBD|ENTY
Who portrayed W.C. Fields in the film W.C. Fields and Me ?|Who|Who portrayed|WP|VBD|VBD|HUM
What were the ceremony traditions like during the Elizabethian times ?|What|What were|WP|VBD|VBD|ENTY
Which college did Dikembe Mutombo play basketball at ?|Which|Which college|WDT|NN|VB|HUM
What is a fear of going to bed ?|What|What is|WP|VBZ|VBZ|ENTY
Where did the saying '' rule of thumb '' come from ?|Where|Where did|WRB|VBD|VBN|DESC
Why does sound travel quicker through water than air ?|Why|Why does|WRB|VBZ|VB|DESC
How much money does the Sultan of Brunei have ?|How|How much|WRB|JJ|VBP|NUM
What country would you visit to ski in the Dolomites ?|What|What country|WDT|NN|VB|LOC
What month's third weekend is the Monterey Jazz Festival held on ?|What|What month|WDT|NN|VBZ|NUM
What is the '' Global Economy '' ?|What|What is|WP|VBZ|VBZ|DESC
Who built the first successful stern wheel steamboat ?|Who|Who built|WP|VBD|VBD|HUM
What is a caul ?|What|What is|WP|VBZ|VBZ|DESC
Who was Hitler's minister of propaganda ?|Who|Who was|WP|VBD|VBD|HUM
Who was the first doctor to successfully transplant a liver ?|Who|Who was|WP|VBD|VBD|HUM
What does the theory of quantum leaps mean in simpler terms ?|What|What does|WP|VBZ|VB|DESC
What is a bone marrow transplant ?|What|What is|WP|VBZ|VBZ|DESC
What is the difference between a classical and an acoustic guitar ?|What|What is|WP|VBZ|VBZ|DESC
